Model,RMSE,MAE,MAPE
Juice,2.970010756394558,2.233916806457926,23.224789901282552
Milk,3.3906731594762496,2.5020848566960323,20.67068848599397
Yogurt,3.426768761647683,2.5768876298136876,20.036599053156674
SnackBar,3.680208909156243,2.772280348622459,19.23861225805673
ReadyMeal,4.0678395497918425,3.077757368939939,18.636510115048274
